expression,reading,meaning,tags,parts_of_speech,group
練る,ねる,"to knead, to work over, to polish up",N1,verb,Work & Career
昇進,しょうしん,promotion,N1,noun,Work & Career
使用人,しようにん,"employee, servant",N1,noun,Work & Career
職員,しょくいん,"staff member, personnel",N1,noun,Work & Career
製鉄,せいてつ,iron manufacture,N1,noun,Work & Career
税務署,ぜいむしょ,tax office,N1,noun,Work & Career
増進,ぞうしん,"promoting, increase, advance",N1,noun,Work & Career
退職,たいしょく,retirement (from office),N1,noun,Work & Career
タイピスト,タイピスト,typist,N1,noun,Work & Career
対面,たいめん,"interview, meeting",N1,noun,Work & Career
駄作,ださく,poor work,N1,noun,Work & Career
断言,だんげん,"assertion, declaration, affirmation",N1,noun,Work & Career
長官,ちょうかん,"chief, (government) secretary",N1,noun,Work & Career
沈殿,ちんでん,"precipitation, deposition, settlement",N1,noun,Work & Career
勤め先,つとめさき,place of work,N1,noun,Work & Career
努めて,つとめて,"make an effort!, work hard!",N1,noun,Work & Career
手分け,てわけ,division of labor,N1,noun,Work & Career
添える,そえる,"to add to, to attach, to accompany",N1,verb,Work & Career
連中,れんちゅう,"colleagues, company, a lot",N1,noun,Work & Career
労力,ろうりょく,"labor, effort, trouble",N1,noun,Work & Career
就業,しゅうぎょう,"employment, starting work",N1,noun,Work & Career
従業員,じゅうぎょういん,"employee, worker",N1,noun,Work & Career
出社,しゅっしゃ,come to work,N1,noun,Work & Career
部門,ぶもん,"class, group, category, department, field, branch",N1,noun,Work & Career
ポジション,ポジション,position,N1,noun,Work & Career
名産,めいさん,noted product,N1,noun,Work & Career
メーカー,メーカー,manufacturer,N1,noun,Work & Career
役職,やくしょく,"post, managerial position, official position",N1,noun,Work & Career
用件,ようけん,business,N1,noun,Work & Career
ビジネス,ビジネス,business,N1,noun,Work & Career
秘書,ひしょ,(private) secretary,N1,noun,Work & Career
好調,こうちょう,"satisfactory, in good shape",N1,na-adjective,Work & Career
特産,とくさん,"specialty, special product",N1,na-adjective,Work & Career
強硬,きょうこう,"firm, vigorous, stubborn",N1,na-adjective,Work & Career
仕える,つかえる,"to serve, to work for",N1,verb,Work & Career
勤労,きんろう,"labor, exertion, diligent service",N1,na-adjective,Work & Career
斡旋,あっせん,"kind offices, mediation",N1,na-adjective,Work & Career
ろくな,ろくな,"satisfactory, decent",N1,na-adjective,Work & Career
分業,ぶんぎょう,"division of labor, specialization, assembly-line production",N1,na-adjective,Work & Career
良好,りょうこう,"favorable, satisfactory",N1,na-adjective,Work & Career
断然,だんぜん,"firmly, absolutely, definitely",N1,adverb,Work & Career
～署,～しょ,department,N1,prefix/suffix,Work & Career
現地,げんち,"actual place, local",N1,noun,Travel & Transport
桟橋,さんばし,"wharf, jetty, pier",N1,noun,Travel & Transport
遠回り,とおまわり,"detour, roundabout way",N1,noun,Travel & Transport
ドライバー,ドライバー,"driver, screwdriver",N1,noun,Travel & Transport
ドライブイン,ドライブイン,drive in,N1,noun,Travel & Transport
