expression,reading,meaning,tags,group
青,あお,blue,N5,N5_Group_1
暇,ひま,"free time, leisure",N5,N5_Group_1
赤,あか,red,N5,N5_Group_1
大変,たいへん,"very; difficult, hard",N5,N5_Group_1
秋,あき,fall (season),N5,N5_Group_1
会う,あう,"to meet, to see",N5,N5_Group_1
暑い,あつい,"hot (in reference to weather), warm",N5,N5_Group_1
朝,あさ,morning,N5,N5_Group_1
～回,～かい,counter for occurrences (~ times),N5,N5_Group_1
頭,あたま,head,N5,N5_Group_1
熱い,あつい,hot (objects),N5,N5_Group_1
開く,あく,"to open, to become open",N5,N5_Group_1
兄,あに,(my) older brother (humble),N5,N5_Group_1
段々,だんだん,"gradually, by degrees",N5,N5_Group_1
姉,あね,(my) older sister (humble),N5,N5_Group_1
厚い,あつい,"kind, warm(hearted), thick, deep",N5,N5_Group_1
雨,あめ,rain,N5,N5_Group_1
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,N5,N5_Group_1
～月,～がつ,month of year,N5,N5_Group_1
家,いえ,"house, home",N5,N5_Group_1
薄い,うすい,"thin, weak",N5,N5_Group_1
犬,いぬ,dog,N5,N5_Group_1
時々,ときどき,sometimes,N5,N5_Group_1
歩く,あるく,to walk,N5,N5_Group_1
妹,いもうと,younger sister (humble),N5,N5_Group_1
遅い,おそい,slow; (to be) late,N5,N5_Group_1
色,いろ,color,N5,N5_Group_1
～個,～こ,"counter for small items (e.g., fruits, cups)",N5,N5_Group_1
絵,え,a painting; a picture; a drawing,N5,N5_Group_1
言う,いう,to say,N5,N5_Group_1
辛い,からい,hot and spicy; salty,N5,N5_Group_1
弟,おとうと,younger brother,N5,N5_Group_1
毎朝,まいあさ,every morning,N5,N5_Group_1
顔,かお,face (body part),N5,N5_Group_1
汚い,きたない,"dirty, unclean, filthy",N5,N5_Group_1
行く,いく; ゆく,to go,N5,N5_Group_1
風,かぜ,"wind, breeze",N5,N5_Group_1
～歳,～さい,~ years old,N5,N5_Group_1
方,かた,-- honorific form for 人 (ひと) --; way of doing,N5,N5_Group_1
綺麗,きれい,"pretty, clean, tidy",N5,N5_Group_1
体,からだ,body; health,N5,N5_Group_1
要る,いる,to need,N5,N5_Group_1
口,くち,job opening; mouth,N5,N5_Group_1
靴,くつ,"shoes, footwear",N5,N5_Group_1
黒い,くろい,black; dark,N5,N5_Group_1
国,くに,country; place of origin,N5,N5_Group_1
～時,～じ,~ o'clock (time),N5,N5_Group_1
売る,うる,to sell (v.t.),N5,N5_Group_1
黒,くろ,black,N5,N5_Group_1
結構,けっこう,"splendid; enough, tolerably",N5,N5_Group_1
下,した,"under, below, beneath",N5,N5_Group_1
白,しろ,white,N5,N5_Group_1
手,て,hand,N5,N5_Group_1
置く,おく,to put; to lay; to place,N5,N5_Group_1
寒い,さむい,cold (in reference to weather),N5,N5_Group_1
戸,と,door (Japanese style),N5,N5_Group_1
～人,～じん,counter for people,N5,N5_Group_1
所,ところ,place,N5,N5_Group_1
年,とし,"year, age",N5,N5_Group_1
終る,おわる,"to finish, to close",N5,N5_Group_1
隣,となり,"next to, next door to",N5,N5_Group_1
肉,にく,meat,N5,N5_Group_1
花,はな,flower,N5,N5_Group_1
晩,ばん,evening,N5,N5_Group_1
左,ひだり,left hand side,N5,N5_Group_1
買う,かう,to buy,N5,N5_Group_1
～時,～とき,at the time of ~,N5,N5_Group_1
人,ひと,"man, person",N5,N5_Group_1
百,ひゃく,hundred,N5,N5_Group_1
昼,ひる,"noon, daytime",N5,N5_Group_1
冬,ふゆ,winter,N5,N5_Group_1
返す,かえす,to return something,N5,N5_Group_1
町,まち,town; city,N5,N5_Group_1
窓,まど,window,N5,N5_Group_1
右,みぎ,right hand side,N5,N5_Group_1
水,みず,water,N5,N5_Group_1
道,みち,"road, street; way, directions",N5,N5_Group_1
帰る,かえる,"to go back, to go home, to return",N5,N5_Group_1
目,め,eye(s),N5,N5_Group_1
夜,よる,"evening, night",N5,N5_Group_1
青い,あおい,blue,N5,N5_Group_1
赤い,あかい,red,N5,N5_Group_1
あの,あの,"that over there; like that, that way; um...",N5,N5_Group_1
書く,かく,to write,N5,N5_Group_1
医者,いしゃ,doctor; physician,N5,N5_Group_1
一日,いちにち,one day (duration),N5,N5_Group_1
五日,いつか,five days; fifth day of the month,N5,N5_Group_1
意味,いみ,"meaning, significance",N5,N5_Group_1
うち,うち,home; house; my place,N5,N5_Group_1
貸す,かす,to lend,N5,N5_Group_1
多い,おおい,many; there are a lot,N5,N5_Group_1
大勢,おおぜい,great number of people,N5,N5_Group_1
お金,おかね,money,N5,N5_Group_1
外国,がいこく,foreign country; abroad,N5,N5_Group_1
会社,かいしゃ,"company, corporation",N5,N5_Group_1
聞く,きく,"to hear, to listen, to ask",N5,N5_Group_1
風邪,かぜ,"cold, flu",N5,N5_Group_1
家族,かぞく,"family, members of a family",N5,N5_Group_1
学校,がっこう,a school,N5,N5_Group_1
家庭,かてい,home; family,N5,N5_Group_1
花瓶,かびん,(flower) vase,N5,N5_Group_1
着る,きる,to put on (clothes above your waist); to wear,N5,N5_Group_1
黄色,きいろ,yellow,N5,N5_Group_1
昨日,きのう,yesterday,N5,N5_Group_1
今日,きょう,"today, this day",N5,N5_Group_1
去年,きょねん,last year,N5,N5_Group_1
嫌い,きらい,dislike,N5,N5_Group_1
曇る,くもる,"to become cloudy, to become dim",N5,N5_Group_1
曇り,くもり,"cloudiness, cloudy weather",N5,N5_Group_1
今朝,けさ,this morning,N5,N5_Group_1
玄関,げんかん,entrance (to a house or a building),N5,N5_Group_1
元気,げんき,"health(y), energetic",N5,N5_Group_1
紅茶,こうちゃ,black tea,N5,N5_Group_1
来る,くる,to come,N5,N5_Group_1
ここ,ここ,"here, this place",N5,N5_Group_1
九日,ここのか,nine days; ninth day of the month,N5,N5_Group_1
午前,ごぜん,"morning, A.M.",N5,N5_Group_1
今年,ことし,this year,N5,N5_Group_1
子供,こども,child(ren),N5,N5_Group_1
今月,こんげつ,this month,N5,N5_Group_1
今晩,こんばん,"tonight, this evening",N5,N5_Group_1
さあ,さあ,"come now, well",N5,N5_Group_1
財布,さいふ,wallet,N5,N5_Group_2
静か,しずか,"quiet, calm",N5,N5_Group_2
作文,さくぶん,essay; composition,N5,N5_Group_2
毎月,まいげつ; まいつき,"every month, monthly",N5,N5_Group_2
散歩,さんぽ (する),"walk, stroll",N5,N5_Group_2
消す,けす,"to erase, to delete, to turn off power",N5,N5_Group_2
掃除,そうじ (する),"cleaning, sweeping",N5,N5_Group_2
時間,じかん,time,N5,N5_Group_2
～日,～にち,"~ day of the month, for ~ days",N5,N5_Group_2
仕事,しごと,"work, job, occupation, employment",N5,N5_Group_2
大切,たいせつ,important,N5,N5_Group_2
困る,こまる,"to be bothered, to have difficulty",N5,N5_Group_2
写真,しゃしん,a picture; a photograph,N5,N5_Group_2
毎日,まいにち,every day,N5,N5_Group_2
授業,じゅぎょう,a class (of school),N5,N5_Group_2
高い,たかい,"tall, high; expensive",N5,N5_Group_2
宿題,しゅくだい,homework,N5,N5_Group_2
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)",N5,N5_Group_2
～人,～にん,counter for people,N5,N5_Group_2
上手,じょうず,"be good at, skillful",N5,N5_Group_2
近い,ちかい,"near, close by, short",N5,N5_Group_2
丈夫,じょうぶ,"strong, solid, durable",N5,N5_Group_2
毎年,まいねん; まいとし,"every year, yearly, annually",N5,N5_Group_2
死ぬ,しぬ,to die,N5,N5_Group_2
食堂,しょくどう,"cafeteria, dining hall",N5,N5_Group_2
強い,つよい,"strong, powerful",N5,N5_Group_2
白い,しろい,white,N5,N5_Group_2
～年,～ねん,~ years,N5,N5_Group_2
新聞,しんぶん,newspaper,N5,N5_Group_2
知る,しる,"to know, to understand",N5,N5_Group_2
長い,ながい,"long, lengthy",N5,N5_Group_2
好き,すき,"liking, fondness, love",N5,N5_Group_2
もう,もう,already; again; more,N5,N5_Group_2
少し,すこし,"little, few",N5,N5_Group_2
速い,はやい,"fast, quick",N5,N5_Group_2
吸う,すう,"to breathe in, to suck",N5,N5_Group_2
先月,せんげつ,last month,N5,N5_Group_2
～匹,～ひき,counter for small animals,N5,N5_Group_2
先生,せんせい,"teacher, professor; master; doctor",N5,N5_Group_2
低い,ひくい,"short, low",N5,N5_Group_2
全部,ぜんぶ,"all, entire, whole",N5,N5_Group_2
住む,すむ,"to reside, to live in",N5,N5_Group_2
そこ,そこ,"that place, there; bottom, sole",N5,N5_Group_2
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",N5,N5_Group_2
古い,ふるい,"old (in reference to objects, not people), aged, ancient",N5,N5_Group_2
大学,だいがく,college; university,N5,N5_Group_2
～本,～ほん,counter for long cylindrical things,N5,N5_Group_2
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",N5,N5_Group_2
沢山,たくさん,"many, much",N5,N5_Group_2
便利,べんり,"convenient, handy",N5,N5_Group_2
一日,ついたち,one day; first day of the month,N5,N5_Group_2
天気,てんき,weather,N5,N5_Group_2
電気,でんき,"electricity, (electric) light",N5,N5_Group_2
座る,すわる,to sit,N5,N5_Group_2
細い,ほそい,"thin, slender, fine",N5,N5_Group_2
電車,でんしゃ,electric train,N5,N5_Group_2
～か月,～かげつ,(number of) months,N5,N5_Group_2
どう,どう,"how, in what way",N5,N5_Group_2
遠い,とおい,"far (away), distant",N5,N5_Group_2
出す,だす,to take (something) out; to hand in (something),N5,N5_Group_2
十日,とおか,ten days; tenth day of the month,N5,N5_Group_2
どこ,どこ,"where, what place",N5,N5_Group_2
友達,ともだち,friend,N5,N5_Group_2
鶏肉,とりにく,chicken meat,N5,N5_Group_2
ない,ない,"there isn't, doesn't have",N5,N5_Group_2
立つ,たつ,to stand up,N5,N5_Group_2
～ずつ,～ずつ,at a time,N5,N5_Group_2
七日,なのか,seven days; seventh day (of the month),N5,N5_Group_2
名前,なまえ,name,N5,N5_Group_2
晴れ,はれ,clear (sunny) weather,N5,N5_Group_2
一月,ひとつき,one month,N5,N5_Group_2
頼む,たのむ,"to request, to ask (a favor)",N5,N5_Group_2
一人,ひとり,one person,N5,N5_Group_2
病気,びょうき,illness; sickness,N5,N5_Group_2
二人,ふたり,two people,N5,N5_Group_2
二日,ふつか,two days; second day of the month,N5,N5_Group_2
三日,みっか,"three days, third day of the month",N5,N5_Group_2
使う,つかう,to use,N5,N5_Group_2
六日,むいか,six days; sixth day of month,N5,N5_Group_2
眼鏡,めがね,eye glasses,N5,N5_Group_2
問題,もんだい,a problem,N5,N5_Group_2
休み,やすみ,holiday; day off; absence,N5,N5_Group_2
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",N5,N5_Group_2
作る,つくる,"to make, to create",N5,N5_Group_2
夕飯,ゆうはん,"dinner, supper, evening meal",N5,N5_Group_2
八日,ようか,eight days; eighth day of the month,N5,N5_Group_2
四日,よっか,four days; fourth day of the month,N5,N5_Group_2
来月,らいげつ,next month,N5,N5_Group_2
来年,らいねん,next year,N5,N5_Group_2
出る,でる,"to appear, to leave",N5,N5_Group_2
廊下,ろうか,corridor,N5,N5_Group_2
朝御飯,あさごはん,breakfast,N5,N5_Group_2
明後日,あさって,day after tomorrow,N5,N5_Group_2
あそこ,あそこ,"there, over there, that place",N5,N5_Group_2
いいえ,いいえ,"no, not at all",N5,N5_Group_2
取る,とる,to take (a class); to get (a grade),N5,N5_Group_2
いかが,いかが,"how, in what way",N5,N5_Group_2
いくつ,いくつ,"how many, how old",N5,N5_Group_2
いくら,いくら,"how much, how many",N5,N5_Group_2
映画館,えいがかん,"movie theater, cinema",N5,N5_Group_2
大きな,おおきな,big,N5,N5_Group_2
撮る,とる,"to take (a photo), to make (a film)",N5,N5_Group_2
一昨日,おととい,the day before yesterday,N5,N5_Group_2
かかる,かかる,"it takes (amount of time, money) (v.i.)",N5,N5_Group_2
かばん,かばん,"bag, basket",N5,N5_Group_2
火曜日,かようび,Tuesday,N5,N5_Group_2
金曜日,きんようび,Friday,N5,N5_Group_2
鳴く,なく,to make sound (animal),N5,N5_Group_2
月曜日,げつようび,Monday,N5,N5_Group_2
こっち,こっち,this person; this direction; this side,N5,N5_Group_2
こんな,こんな,"such, like this",N5,N5_Group_2
さ来年,さらいねん,year after next,N5,N5_Group_2
水曜日,すいようび,Wednesday,N5,N5_Group_2
習う,ならう,to learn,N5,N5_Group_2
食べ物,たべもの,food,N5,N5_Group_2
誕生日,たんじょうび,birthday,N5,N5_Group_2
小さな,ちいさな,"small, little",N5,N5_Group_2
地下鉄,ちかてつ,"underground train, subway",N5,N5_Group_2
ドア,ドア,door (Western style),N5,N5_Group_2
どっち,どっち,"which one, which way",N5,N5_Group_2
土曜日,どようび,Saturday,N5,N5_Group_2
日曜日,にちようび,Sunday,N5,N5_Group_2
飲み物,のみもの,"drink, beverage",N5,N5_Group_3
短い,みじかい,short (length),N5,N5_Group_3
始まる,はじまる,(something) begins,N5,N5_Group_3
いつも,いつも,"always, usually, every time, never (with neg. verb)",N5,N5_Group_3
初めて,はじめて,for the first time,N5,N5_Group_3
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)",N5,N5_Group_3
弱い,よわい,weak,N5,N5_Group_3
二十歳,はたち,20 years old,N5,N5_Group_3
～円,～えん,Yen,N5,N5_Group_3
二十日,はつか,"twenty days, twentieth (day of the month)",N5,N5_Group_3
若い,わかい,young,N5,N5_Group_3
なる,なる,to become,N5,N5_Group_3
パン,パン,bread,N5,N5_Group_3
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,N5,N5_Group_3
晩御飯,ばんごはん,"dinner, evening meal",N5,N5_Group_3
悪い,わるい,"bad, sinful; inferior",N5,N5_Group_3
昼御飯,ひるごはん,"lunch, midday meal",N5,N5_Group_3
脱ぐ,ぬぐ,to take off (clothes),N5,N5_Group_3
お～,お～,honorable ~ (honorific),N5,N5_Group_3
木曜日,もくようび,Thursday,N5,N5_Group_3
明るい,あかるい,bright (in reference to personality or weather); cheerful,N5,N5_Group_3
後,あと,afterwards (later); in the future; the rest; since then,N5,N5_Group_3
大好き,だいすき,"very like-able, like very much",N5,N5_Group_3
寝る,ねる,to sleep; to go to sleep; to go to bed,N5,N5_Group_3
飴,あめ,(hard) candy,N5,N5_Group_3
新しい,あたらしい,new,N5,N5_Group_3
池,いけ,pond,N5,N5_Group_3
～階,～かい,counter for stories (floors) of a building,N5,N5_Group_3
一,いち,one,N5,N5_Group_3
飲む,のむ,to drink,N5,N5_Group_3
あちら,あちら,this way (polite),N5,N5_Group_3
今,いま,now,N5,N5_Group_3
とても,とても,"very (much), greatly, exceedingly",N5,N5_Group_3
嫌,いや,"disagreeable, detestable, unpleasant",N5,N5_Group_3
危ない,あぶない,"dangerous, critical",N5,N5_Group_3
入る,はいる,"to enter, to contain, to hold",N5,N5_Group_3
上,うえ,"above (up, top, etc.), over, on top of",N5,N5_Group_3
～側,～がわ,~ side,N5,N5_Group_3
歌,うた,a song,N5,N5_Group_3
忙しい,いそがしい,"busy (people, days)",N5,N5_Group_3
海,うみ,"sea, beach",N5,N5_Group_3
はく,はく,to put on (items below your waist),N5,N5_Group_3
駅,えき,station,N5,N5_Group_3
男,おとこ,"man, male",N5,N5_Group_3
大きい,おおきい,"big, large",N5,N5_Group_3
おととし,おととし,year before last,N5,N5_Group_3
～語,～ご,"word, language",N5,N5_Group_3
走る,はしる,to run,N5,N5_Group_3
お兄さん,おにいさん,(someone else's) older brother (formal),N5,N5_Group_3
可愛い,かわいい,"cute, adorable",N5,N5_Group_3
お姉さん,おねえさん,older sister (formal),N5,N5_Group_3
おまわりさん,おまわりさん,policeman (friendly term),N5,N5_Group_3
女,おんな,"woman, female",N5,N5_Group_3
働く,はたらく,to work,N5,N5_Group_3
黄色い,きいろい,yellow,N5,N5_Group_3
鍵,かぎ,a lock; a key,N5,N5_Group_3
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)",N5,N5_Group_3
傘,かさ,"umbrella, parasol",N5,N5_Group_3
角,かど,"corner (e.g., desk, pavement)",N5,N5_Group_3
話す,はなす,to speak,N5,N5_Group_3
紙,かみ,paper,N5,N5_Group_3
木,き,"tree, wood, timber",N5,N5_Group_3
北,きた,north,N5,N5_Group_3
九,きゅう,nine,N5,N5_Group_3
九,く,nine,N5,N5_Group_3
弾く,ひく,to play (a string instrument or piano),N5,N5_Group_3
～冊,～さつ,counter for books,N5,N5_Group_3
薬,くすり,medicine,N5,N5_Group_3
車,くるま,"car, vehicle",N5,N5_Group_3
五,ご,five,N5,N5_Group_3
声,こえ,voice,N5,N5_Group_3
吹く,ふく,"to blow (wind, etc.)",N5,N5_Group_3
魚,さかな,fish,N5,N5_Group_3
先,さき,"future; recent, previous",N5,N5_Group_3
三,さん,three,N5,N5_Group_3
四,し,four,N5,N5_Group_3
塩,しお,salt,N5,N5_Group_3
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",N5,N5_Group_3
七,しち,seven,N5,N5_Group_3
十,じゅう,ten,N5,N5_Group_3
ズボン,ズボン,trousers,N5,N5_Group_3
背,せい,"(one's) height, stature",N5,N5_Group_3
千,せん,thousand,N5,N5_Group_3
曲る,まがる,"to turn, to bend",N5,N5_Group_3
そうして; そして,そうして; そして,"and, like that",N5,N5_Group_3
外,そと,"outside, exterior",N5,N5_Group_3
空,そら,sky,N5,N5_Group_3
それでは,それでは,"in that situation, well then...",N5,N5_Group_3
卵,たまご,egg,N5,N5_Group_3
待つ,まつ,to wait,N5,N5_Group_3
誰,だれ,who,N5,N5_Group_3
父,ちち,(my) father,N5,N5_Group_3
次,つぎ,next,N5,N5_Group_3
机,つくえ,desk,N5,N5_Group_3
どうして,どうして,"why, for what reason",N5,N5_Group_3
見る,みる,"to see, to look",N5,N5_Group_3
十,(〜を) とお,ten (~),N5,N5_Group_3
鳥,とり,"chicken (lit., bird)",N5,N5_Group_3
中,なか,"inside, middle, among",N5,N5_Group_3
夏,なつ,summer,N5,N5_Group_3
何,なん; なに,what,N5,N5_Group_3
持つ,もつ,"to hold, to carry; to possess",N5,N5_Group_3
二,に,two,N5,N5_Group_3
西,にし,west,N5,N5_Group_3
庭,にわ,garden,N5,N5_Group_3
猫,ねこ,cat,N5,N5_Group_3
歯,は,tooth,N5,N5_Group_3
休む,やすむ,"to rest, to have a break, to get time off",N5,N5_Group_3
箱,はこ,box,N5,N5_Group_3
橋,はし,bridge,N5,N5_Group_3
箸,はし,chopsticks,N5,N5_Group_3
初め; 始め,はじめ,"beginning, start",N5,N5_Group_3
八,はち,eight,N5,N5_Group_3
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",N5,N5_Group_3
鼻,はな,nose,N5,N5_Group_3
話,はなし,"talk (chat), story",N5,N5_Group_3
母,はは,(my) mother,N5,N5_Group_3
春,はる,spring,N5,N5_Group_3
半,はん,"half (e.g., にじはん | half-past two)",N5,N5_Group_3
東,ひがし,east,N5,N5_Group_3
服,ふく,clothes,N5,N5_Group_3
辺,へん,"area, vicinity",N5,N5_Group_3
外,ほか,"other, the rest",N5,N5_Group_4
下さい,ください,(with te-form verb) please do for me,N5,N5_Group_4
ポスト,ポスト,"mailbox; post, position",N5,N5_Group_4
皆さん,みなさん,"all of you, everyone",N5,N5_Group_4
ホテル,ホテル,hotel,N5,N5_Group_4
呼ぶ,よぶ,to call (one's name); to invite,N5,N5_Group_4
こちら,こちら,this person (polite); this way (polite),N5,N5_Group_4
本,ほん,book,N5,N5_Group_4
～中,～じゅう,"during, while",N5,N5_Group_4
前,まえ,"before, in front",N5,N5_Group_4
少ない,すくない,a little; a few,N5,N5_Group_4
読む,よむ,to read,N5,N5_Group_4
まっすぐ,まっすぐ,"straight (ahead), direct",N5,N5_Group_4
みんな,みんな,"all, everyone, everybody",N5,N5_Group_4
万,まん,ten thousand,N5,N5_Group_4
涼しい,すずしい,"cool, refreshing (in reference to weather)",N5,N5_Group_4
店,みせ,"store, shop",N5,N5_Group_4
渡す,わたす,to hand (something) over (v.t.); to get across,N5,N5_Group_4
～台,～だい,counter for vehicles; machines,N5,N5_Group_4
緑,みどり,green,N5,N5_Group_4
小さい,ちいさい,"small, little",N5,N5_Group_4
南,みなみ,South,N5,N5_Group_4
ゆっくりと,ゆっくりと,"slowly, at ease",N5,N5_Group_4
渡る,わたる,"to cross over, to go across",N5,N5_Group_4
耳,みみ,ear,N5,N5_Group_4
冷たい,つめたい,"cold (things, people)",N5,N5_Group_4
村,むら,village,N5,N5_Group_4
～中,～ちゅう,"during, while ~ing",N5,N5_Group_4
もしもし,もしもし,Hello? (used on the phone),N5,N5_Group_4
開ける,あける,to open (v.t.),N5,N5_Group_4
どうぞ,どうぞ,"please, kindly, by all means",N5,N5_Group_4
物,もの,thing (concrete object),N5,N5_Group_4
余り,あまり,not very; surplus,N5,N5_Group_4
門,もん,gate,N5,N5_Group_4
どちら,どちら,which (one) (way); where (polite),N5,N5_Group_4
入れる,いれる,to put in,N5,N5_Group_4
山,やま,mountain,N5,N5_Group_4
～度,～ど,counter for occurrences; ~ degree; ~ point,N5,N5_Group_4
雪,ゆき,snow,N5,N5_Group_4
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",N5,N5_Group_4
横,よこ,beside; side; width,N5,N5_Group_4
教える,おしえる,"to teach, to inform, to instruct",N5,N5_Group_4
零,れい,"zero, nought",N5,N5_Group_4
六,ろく,six,N5,N5_Group_4
難しい,むずかしい,difficult,N5,N5_Group_4
私,わたし,"I, myself",N5,N5_Group_4
何～,なん～,what sort of ~,N5,N5_Group_4
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",N5,N5_Group_4
私,わたくし,"I (formal), myself, private affairs",N5,N5_Group_4
易しい,やさしい,"easy, plain, simple",N5,N5_Group_4
ああ,ああ,"Ah!, Oh!",N5,N5_Group_4
明日,あした,tomorrow,N5,N5_Group_4
あれ,あれ,that one (over there),N5,N5_Group_4
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",N5,N5_Group_4
りっぱ,りっぱ,"splendid, fine",N5,N5_Group_4
椅子,いす,chair,N5,N5_Group_4
～杯,～はい,counter for cupfuls,N5,N5_Group_4
痛い,いたい,hurt; painful; sore,N5,N5_Group_4
一番,いちばん,"best (most), first, number one",N5,N5_Group_4
かける,かける,"to dial/call (e.g., phone); to sit down",N5,N5_Group_4
いつ,いつ,when,N5,N5_Group_4
一緒,いっしょ,together,N5,N5_Group_4
五つ,いつつ,five things,N5,N5_Group_4
入口,いりぐち,entrance,N5,N5_Group_4
居る,いる,"(humble) to be (animate), to exist",N5,N5_Group_4
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",N5,N5_Group_4
～番,～ばん,~st; ~th best,N5,N5_Group_4
後ろ,うしろ,"back, behind, rear",N5,N5_Group_4
上着,うわぎ,"coat, jacket",N5,N5_Group_4
映画,えいが,"movie, film",N5,N5_Group_4
英語,えいご,English (language),N5,N5_Group_4
答える,こたえる,"to answer, to reply",N5,N5_Group_4
ええ,ええ,yes,N5,N5_Group_4
鉛筆,えんぴつ,pencil,N5,N5_Group_4
お酒,おさけ,sake; alcohol,N5,N5_Group_4
お皿,おさら,"plate, dish",N5,N5_Group_4
お茶,おちゃ,(green) tea,N5,N5_Group_4
閉まる,しまる,"to close, to be closed",N5,N5_Group_4
大人,おとな,adult,N5,N5_Group_4
お腹,おなか,stomach,N5,N5_Group_4
同じ,おなじ,"same, identical",N5,N5_Group_4
音楽,おんがく,Music,N5,N5_Group_4
階段,かいだん,stairs,N5,N5_Group_4
閉める,しめる,"to close, to shut",N5,N5_Group_4
学生,がくせい,student,N5,N5_Group_4
カレンダー,カレンダー,calendar,N5,N5_Group_4
漢字,かんじ,kanji; Chinese character,N5,N5_Group_4
切手,きって,postal (postage) stamps,N5,N5_Group_4
切符,きっぷ,a ticket,N5,N5_Group_4
締める,しめる,"to tie, to fasten, to tighten",N5,N5_Group_4
牛肉,ぎゅうにく,beef,N5,N5_Group_4
牛乳,ぎゅうにゅう,milk,N5,N5_Group_4
教室,きょうしつ,classroom,N5,N5_Group_4
兄弟,きょうだい,"siblings (humble), brothers and sisters",N5,N5_Group_4
銀行,ぎんこう,bank,N5,N5_Group_4
食べる,たべる,to eat,N5,N5_Group_4
果物,くだもの,fruit,N5,N5_Group_4
靴下,くつした,socks,N5,N5_Group_4
警官,けいかん,police officer,N5,N5_Group_4
結婚,けっこん (する),marriage (get married),N5,N5_Group_4
公園,こうえん,a park,N5,N5_Group_4
疲れる,つかれる,to get (become) tired; to become fatigued,N5,N5_Group_4
交番,こうばん,police box,N5,N5_Group_4
午後,ごご,"afternoon, P.M.",N5,N5_Group_4
九つ,ここのつ,nine things,N5,N5_Group_4
言葉,ことば,language; word(s); expression(s),N5,N5_Group_4
この,この,this,N5,N5_Group_4
つける,つける,"to turn on (e.g., a light); to take",N5,N5_Group_4
御飯,ごはん,rice (cooked); meal,N5,N5_Group_4
これ,これ,this one,N5,N5_Group_4
今週,こんしゅう,this week,N5,N5_Group_4
雑誌,ざっし,"magazine, journal",N5,N5_Group_4
砂糖,さとう,sugar,N5,N5_Group_4
勤める,つとめる,to work (for),N5,N5_Group_4
辞書,じしょ,dictionary,N5,N5_Group_4
質問,しつもん,"question, inquiry",N5,N5_Group_4
字引,じびき,dictionary,N5,N5_Group_4
自分,じぶん,"myself, oneself",N5,N5_Group_4
醤油,しょうゆ,soy sauce,N5,N5_Group_4
ストーブ,ストーブ,heater (lit: stove),N5,N5_Group_4
生徒,せいと,student; pupil,N5,N5_Group_4
セーター,セーター,sweater,N5,N5_Group_4
石鹸,せっけん,soap,N5,N5_Group_5
いい; よい,いい; よい,good,N5,N5_Group_5
背広,せびろ,men's suit,N5,N5_Group_5
多分,たぶん,"perhaps, probably, maybe",N5,N5_Group_5
先週,せんしゅう,last week,N5,N5_Group_5
止まる,とまる,to come to a halt,N5,N5_Group_5
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",N5,N5_Group_5
洗濯,せんたく,"washing, laundry",N5,N5_Group_5
～分,～ふん,~ minutes,N5,N5_Group_5
その,その,that,N5,N5_Group_5
にぎやか,にぎやか,"bustling, busy",N5,N5_Group_5
無くす,なくす,to lose something,N5,N5_Group_5
それ,それ,that one,N5,N5_Group_5
毎週,まいしゅう,every week,N5,N5_Group_5
台所,だいどころ,kitchen,N5,N5_Group_5
甘い,あまい,"generous, sweet",N5,N5_Group_5
たて,たて,"length, height",N5,N5_Group_5
並べる,ならべる,to put (things) side by side; to line up,N5,N5_Group_5
～枚,～まい,counter for flat things,N5,N5_Group_5
建物,たてもの,building,N5,N5_Group_5
色々,いろいろ,various,N5,N5_Group_5
誰か,だれか,someone,N5,N5_Group_5
毎晩,まいばん,every night,N5,N5_Group_5
欲しい,ほしい,"to want, in need of",N5,N5_Group_5
近く,ちかく,nearby; in the neighborhood,N5,N5_Group_5
重い,おもい,heavy; serious,N5,N5_Group_5
地図,ちず,a map,N5,N5_Group_5
～前,～まえ,in front of ~,N5,N5_Group_5
茶色,ちゃいろ,brown,N5,N5_Group_5
見せる,みせる,"to show, to display",N5,N5_Group_5
軽い,かるい,"light, non-serious, minor",N5,N5_Group_5
茶碗,ちゃわん,rice bowl,N5,N5_Group_5
まだ,まだ,"yet, still, besides",N5,N5_Group_5
丁度,ちょうど,"just, right, exactly",N5,N5_Group_5
暗い,くらい,"dark, gloomy",N5,N5_Group_5
分かる,わかる,to understand,N5,N5_Group_5
手紙,てがみ,letter,N5,N5_Group_5
～屋,～や,~ shop,N5,N5_Group_5
出口,でぐち,an exit,N5,N5_Group_5
狭い,せまい,narrow; not spacious,N5,N5_Group_5
では,では,"then, well, so",N5,N5_Group_5
生まれる,うまれる,to be born,N5,N5_Group_5
