expression,reading,meaning,tags,parts_of_speech,group
低い,ひくい,"short, low",N5,i-adjective,Colors & Descriptions
長い,ながい,"long, lengthy",N5,i-adjective,Colors & Descriptions
短い,みじかい,short (length),N5,i-adjective,Colors & Descriptions
太い,ふとい,"fat, thick",N5,i-adjective,Colors & Descriptions
細い,ほそい,"thin, slender, fine",N5,i-adjective,Colors & Descriptions
薄い,うすい,"thin, weak",N5,i-adjective,Colors & Descriptions
厚い,あつい,"kind, warm(hearted), thick, deep",N5,i-adjective,Colors & Descriptions
重い,おもい,heavy; serious,N5,i-adjective,Personality & Character
軽い,かるい,"light, non-serious, minor",N5,i-adjective,Personality & Character
面白い,おもしろい,"interesting, amusing",N5,i-adjective,Colors & Descriptions
つける,つける,"to turn on (e.g., a light); to take",N5,verb,Colors & Descriptions
遅い,おそい,slow; (to be) late,N5,i-adjective,Colors & Descriptions
速い,はやい,"fast, quick",N5,i-adjective,Colors & Descriptions
強い,つよい,"strong, powerful",N5,i-adjective,Colors & Descriptions
弱い,よわい,weak,N5,i-adjective,Colors & Descriptions
若い,わかい,young,N5,i-adjective,Colors & Descriptions
易しい,やさしい,"easy, plain, simple",N5,i-adjective,Colors & Descriptions
狭い,せまい,narrow; not spacious,N5,i-adjective,Colors & Descriptions
汚い,きたない,"dirty, unclean, filthy",N5,i-adjective,Colors & Descriptions
冷たい,つめたい,"cold (things, people)",N5,i-adjective,Colors & Descriptions
可愛い,かわいい,"cute, adorable",N5,i-adjective,Colors & Descriptions
色々,いろいろ,various,N5,na-adjective,Colors & Descriptions
綺麗,きれい,"pretty, clean, tidy",N5,na-adjective,Colors & Descriptions
大変,たいへん,"very; difficult, hard",N5,adverb,Colors & Descriptions
ゆっくりと,ゆっくりと,"slowly, at ease",N5,adverb,Colors & Descriptions
～本,～ほん,counter for long cylindrical things,N5,counter,Colors & Descriptions
～枚,～まい,counter for flat things,N5,counter,Colors & Descriptions
好き,すき,"liking, fondness, love",N5,noun,Feelings & Emotions
大好き,だいすき,"very like-able, like very much",N5,adverb,Feelings & Emotions
嫌い,きらい,dislike,N5,i-adjective,Feelings & Emotions
楽しい,たのしい,"enjoyable, fun",N5,i-adjective,Feelings & Emotions
危ない,あぶない,"dangerous, critical",N5,i-adjective,Feelings & Emotions
暗い,くらい,"dark, gloomy",N5,i-adjective,Feelings & Emotions
静か,しずか,"quiet, calm",N5,na-adjective,Personality & Character
あちら,あちら,this way (polite),N5,na-adjective,Personality & Character
ここ,ここ,"here, this place",N5,noun,Actions & Movement
上げる,あげる,"to raise, to lift",N5,verb,Actions & Movement
置く,おく,to put; to lay; to place,N5,verb,Actions & Movement
入れる,いれる,to put in,N5,verb,Actions & Movement
出す,だす,to take (something) out; to hand in (something),N5,verb,Actions & Movement
持つ,もつ,"to hold, to carry; to possess",N5,verb,Actions & Movement
取る,とる,to take (a class); to get (a grade),N5,verb,Actions & Movement
歩く,あるく,to walk,N5,verb,Actions & Movement
走る,はしる,to run,N5,verb,Actions & Movement
飛ぶ,とぶ,"to fly, to hop",N5,verb,Actions & Movement
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,N5,verb,Actions & Movement
散歩,さんぽ (する),"walk, stroll",N5,noun,Actions & Movement
座る,すわる,to sit,N5,verb,Actions & Movement
立つ,たつ,to stand up,N5,verb,Actions & Movement
入る,はいる,"to enter, to contain, to hold",N5,verb,Actions & Movement
出る,でる,"to appear, to leave",N5,verb,Actions & Movement
帰る,かえる,"to go back, to go home, to return",N5,verb,Actions & Movement
行く,いく; ゆく,to go,N5,verb,Actions & Movement
来る,くる,to come,N5,verb,Actions & Movement
乗る,のる,"to get on, to ride in, to board",N5,verb,Actions & Movement
降りる,おりる,to get off,N5,verb,Actions & Movement
着く,つく,"to arrive at, to reach",N5,verb,Actions & Movement
渡る,わたる,"to cross over, to go across",N5,verb,Actions & Movement
曲る,まがる,"to turn, to bend",N5,verb,Actions & Movement
閉まる,しまる,"to close, to be closed",N5,verb,Actions & Movement
閉める,しめる,"to close, to shut",N5,verb,Actions & Movement
開く,あく,"to open, to become open",N5,verb,Actions & Movement
開ける,あける,to open (v.t.),N5,verb,Actions & Movement
押す,おす,"to push, to press, to stamp (e.g., a passport)",N5,verb,Actions & Movement
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)",N5,verb,Actions & Movement
貼る,はる,to post; to paste; to attach,N5,verb,Actions & Movement
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",N5,verb,Actions & Movement
切る,きる,to cut; to hang up (a phone),N5,verb,Actions & Movement
締める,しめる,"to tie, to fasten, to tighten",N5,verb,Actions & Movement
返す,かえす,to return something,N5,verb,Actions & Movement
貸す,かす,to lend,N5,verb,Actions & Movement
借りる,かりる,"to borrow, to owe",N5,verb,Actions & Movement
終る,おわる,"to finish, to close",N5,verb,Actions & Movement
初め; 始め,はじめ,"beginning, start",N5,noun,Actions & Movement
～たち,～たち,plural suffix,N5,prefix/suffix,Actions & Movement
りっぱ,りっぱ,"splendid, fine",N5,na-adjective,Actions & Movement
学生,がくせい,student,N5,noun,School & Education
先生,せんせい,"teacher, professor; master; doctor",N5,noun,School & Education
生徒,せいと,student; pupil,N5,noun,School & Education
学校,がっこう,a school,N5,noun,School & Education
大学,だいがく,college; university,N5,noun,School & Education
教室,きょうしつ,classroom,N5,noun,School & Education
クラス,クラス,a class,N5,noun,School & Education
授業,じゅぎょう,a class (of school),N5,noun,School & Education
宿題,しゅくだい,homework,N5,noun,School & Education
テスト,テスト,test,N5,noun,School & Education
図書館,としょかん,library,N5,noun,School & Education
ノート,ノート,notebook,N5,noun,School & Education
鉛筆,えんぴつ,pencil,N5,noun,School & Education
ペン,ペン,pen,N5,noun,School & Education
勉強,べんきょう (する),study,N5,noun,School & Education
留学生,りゅうがくせい,international student,N5,noun,School & Education
作文,さくぶん,essay; composition,N5,noun,School & Education
嫌,いや,"disagreeable, detestable, unpleasant",N5,noun,School & Education
取る,とる,to take (a class); to get (a grade),N5,verb,School & Education
起きる,おきる,"to get up (e.g., from sleeping); to happen",N5,verb,School & Education
開く,あく,"to open, to become open",N5,verb,School & Education
開ける,あける,to open (v.t.),N5,verb,School & Education
段々,だんだん,"gradually, by degrees",N5,adverb,School & Education
会社,かいしゃ,"company, corporation",N5,noun,Work & Career
仕事,しごと,"work, job, occupation, employment",N5,noun,Work & Career
勤める,つとめる,to work (for),N5,verb,Work & Career
働く,はたらく,to work,N5,verb,Work & Career
警官,けいかん,police officer,N5,noun,Work & Career
デパート,デパート,(abbr.) department store,N5,noun,Work & Career
郵便局,ゆうびんきょく,post office,N5,noun,Work & Career
おまわりさん,おまわりさん,policeman (friendly term),N5,noun,Work & Career
駅,えき,station,N5,noun,Travel & Transport
バス,バス,bus; bath; bass,N5,noun,Travel & Transport
電車,でんしゃ,electric train,N5,noun,Travel & Transport
地下鉄,ちかてつ,"underground train, subway",N5,noun,Travel & Transport
タクシー,タクシー,taxi,N5,noun,Travel & Transport
飛行機,ひこうき,airplane,N5,noun,Travel & Transport
自転車,じてんしゃ,bicycle,N5,noun,Travel & Transport
車,くるま,"car, vehicle",N5,noun,Travel & Transport
自動車,じどうしゃ,automobile,N5,noun,Travel & Transport
ホテル,ホテル,hotel,N5,noun,Travel & Transport
切符,きっぷ,a ticket,N5,noun,Travel & Transport
地図,ちず,a map,N5,noun,Travel & Transport
道,みち,"road, street; way, directions",N5,noun,Travel & Transport
交差点,こうさてん,intersection,N5,noun,Travel & Transport
橋,はし,bridge,N5,noun,Travel & Transport
荷物,にもつ,luggage; baggage,N5,noun,Travel & Transport
旅行,りょこう,"travel, trip",N5,noun,Travel & Transport
着く,つく,"to arrive at, to reach",N5,verb,Travel & Transport
乗る,のる,"to get on, to ride in, to board",N5,verb,Travel & Transport
広い,ひろい,spacious; wide; broad,N5,i-adjective,Travel & Transport
大切,たいせつ,important,N5,na-adjective,Travel & Transport
にぎやか,にぎやか,"bustling, busy",N5,na-adjective,Travel & Transport
お金,おかね,money,N5,noun,Shopping & Money
銀行,ぎんこう,bank,N5,noun,Shopping & Money
店,みせ,"store, shop",N5,noun,Shopping & Money
買い物,かいもの,shopping,N5,noun,Shopping & Money
財布,さいふ,wallet,N5,noun,Shopping & Money
八百屋,やおや,greengrocer,N5,noun,Shopping & Money
切手,きって,postal (postage) stamps,N5,noun,Shopping & Money
買う,かう,to buy,N5,verb,Shopping & Money
売る,うる,to sell (v.t.),N5,verb,Shopping & Money
安い,やすい,inexpensive; cheap (things),N5,i-adjective,Shopping & Money
～がる,～がる,feel,N5,prefix/suffix,Shopping & Money
～屋,～や,~ shop,N5,prefix/suffix,Shopping & Money
意味,いみ,"meaning, significance",N5,noun,Communication
言葉,ことば,language; word(s); expression(s),N5,noun,Communication
英語,えいご,English (language),N5,noun,Communication
新聞,しんぶん,newspaper,N5,noun,Communication
雑誌,ざっし,"magazine, journal",N5,noun,Communication
手紙,てがみ,letter,N5,noun,Communication
電話,でんわ,a telephone,N5,noun,Communication
質問,しつもん,"question, inquiry",N5,noun,Communication
話,はなし,"talk (chat), story",N5,noun,Communication
文章,ぶんしょう,"sentence, text",N5,noun,Communication
～語,～ご,"word, language",N5,prefix/suffix,Communication
言う,いう,to say,N5,verb,Communication
話す,はなす,to speak,N5,verb,Communication
聞く,きく,"to hear, to listen, to ask",N5,verb,Communication
答える,こたえる,"to answer, to reply",N5,verb,Communication
書く,かく,to write,N5,verb,Communication
読む,よむ,to read,N5,verb,Communication
頼む,たのむ,"to request, to ask (a favor)",N5,verb,Communication
かける,かける,"to dial/call (e.g., phone); to sit down",N5,verb,Communication
声,こえ,voice,N5,noun,Communication
かばん,かばん,"bag, basket",N5,noun,Communication
秋,あき,fall (season),N5,noun,Nature & Weather
夏,なつ,summer,N5,noun,Nature & Weather
冬,ふゆ,winter,N5,noun,Nature & Weather
春,はる,spring,N5,noun,Nature & Weather
天気,てんき,weather,N5,noun,Nature & Weather
晴れ,はれ,clear (sunny) weather,N5,noun,Nature & Weather
曇り,くもり,"cloudiness, cloudy weather",N5,noun,Nature & Weather
雨,あめ,rain,N5,noun,Nature & Weather
雪,ゆき,snow,N5,noun,Nature & Weather
風,かぜ,"wind, breeze",N5,noun,Nature & Weather
海,うみ,"sea, beach",N5,noun,Nature & Weather
山,やま,mountain,N5,noun,Nature & Weather
川; 河,かわ,river,N5,noun,Nature & Weather
池,いけ,pond,N5,noun,Nature & Weather
空,そら,sky,N5,noun,Nature & Weather
花,はな,flower,N5,noun,Nature & Weather
木,き,"tree, wood, timber",N5,noun,Nature & Weather
花瓶,かびん,(flower) vase,N5,noun,Nature & Weather
石鹸,せっけん,soap,N5,noun,Nature & Weather
沢山,たくさん,"many, much",N5,noun,Nature & Weather
晴れる,はれる,to be sunny,N5,verb,Nature & Weather
曇る,くもる,"to become cloudy, to become dim",N5,verb,Nature & Weather
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",N5,verb,Nature & Weather
吹く,ふく,"to blow (wind, etc.)",N5,verb,Nature & Weather
咲く,さく,to bloom,N5,verb,Nature & Weather
犬,いぬ,dog,N5,noun,Animals & Nature
猫,ねこ,cat,N5,noun,Animals & Nature
鳥,とり,"chicken (lit., bird)",N5,noun,Animals & Nature
遠い,とおい,"far (away), distant",N5,i-adjective,Animals & Nature
欲しい,ほしい,"to want, in need of",N5,verb,Animals & Nature
飛ぶ,とぶ,"to fly, to hop",N5,verb,Animals & Nature
プール,プール,swimming pool,N5,noun,Sports & Activities
スポーツ,スポーツ,sport(s),N5,noun,Sports & Activities
練習,れんしゅう (する),(to) practice,N5,noun,Sports & Activities
泳ぐ,およぐ,to swim,N5,verb,Sports & Activities
走る,はしる,to run,N5,verb,Sports & Activities
登る,のぼる,to climb,N5,verb,Sports & Activities
ボールペン,ボールペン,ball-point pen,N5,noun,Sports & Activities
マッチ,マッチ,match,N5,noun,Sports & Activities
歌,うた,a song,N5,noun,Arts & Entertainment
映画,えいが,"movie, film",N5,noun,Arts & Entertainment
音楽,おんがく,Music,N5,noun,Arts & Entertainment
絵,え,a painting; a picture; a drawing,N5,noun,Arts & Entertainment
写真,しゃしん,a picture; a photograph,N5,noun,Arts & Entertainment
本,ほん,book,N5,noun,Arts & Entertainment
テレビ,テレビ,"television, TV",N5,noun,Arts & Entertainment
ラジオ,ラジオ,radio,N5,noun,Arts & Entertainment
映画館,えいがかん,"movie theater, cinema",N5,noun,Arts & Entertainment
ギター,ギター,guitar,N5,noun,Arts & Entertainment
パーティー,パーティー,a party,N5,noun,Arts & Entertainment
テープレコーダー,テープレコーダー,tape recorder,N5,noun,Arts & Entertainment
レコード,レコード,record,N5,noun,Arts & Entertainment
フィルム,フィルム,film (roll of),N5,noun,Arts & Entertainment
ラジオカセ,ラジオカセ,radio cassette player,N5,noun,Arts & Entertainment
歌う,うたう,to sing,N5,verb,Arts & Entertainment
撮る,とる,"to take (a photo), to make (a film)",N5,verb,Arts & Entertainment
見せる,みせる,"to show, to display",N5,verb,Arts & Entertainment
弾く,ひく,to play (a string instrument or piano),N5,verb,Arts & Entertainment
引く,ひく,"to pull, to draw; subtract",N5,verb,Arts & Entertainment
出かける,でかける,to go out; to depart,N5,verb,Arts & Entertainment
渡る,わたる,"to cross over, to go across",N5,verb,Arts & Entertainment
外国,がいこく,foreign country; abroad,N5,noun,Geography & Places
国,くに,country; place of origin,N5,noun,Geography & Places
町,まち,town; city,N5,noun,Geography & Places
村,むら,village,N5,noun,Geography & Places
公園,こうえん,a park,N5,noun,Geography & Places
北,きた,north,N5,noun,Geography & Places
南,みなみ,South,N5,noun,Geography & Places
東,ひがし,east,N5,noun,Geography & Places
西,にし,west,N5,noun,Geography & Places
外国人,がいこくじん,foreigner,N5,noun,Geography & Places
